

*******************************************************************************
Ephemeris / WWW_USER Sat Jun  6 17:48:07 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mars (499)                      {source: mar099}
Center body name: Sun (10)                        {source: DE441}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2024-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2026-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 695700.0, 0.0              {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude positive}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460310.500000000, A.D. 2024-Jan-01 00:00:00.0000, -2.905223583817720E-01, -1.447444885544117E+00, -2.345031837795489E-02,  1.334193838352329E-02, -8.686113782944777E-04, -2.491210218303130E-04,
2460311.500000000, A.D. 2024-Jan-02 00:00:00.0000, -2.772445360566468E-01, -1.448366582826138E+00, -2.369257554508923E-02,  1.322350888586829E-02, -9.806773649285382E-04, -2.368079238256949E-04,
2460312.500000000, A.D. 2024-Jan-03 00:00:00.0000, -2.640544483196226E-01, -1.449415430241701E+00, -2.392684105027633E-02,  1.316762558833741E-02, -1.120255909998813E-03, -2.331973560894845E-04,
2460313.500000000, A.D. 2024-Jan-04 00:00:00.0000, -2.508867505500202E-01, -1.450610736839934E+00, -2.416190628947257E-02,  1.317920450558816E-02, -1.270737795648834E-03, -2.383767585611164E-04,
2460314.500000000, A.D. 2024-Jan-05 00:00:00.0000, -2.376732623397458E-01, -1.451954768817682E+00, -2.440637994991932E-02,  1.325897210517971E-02, -1.414820901277793E-03, -2.518951382660815E-04,
2460315.500000000, A.D. 2024-Jan-06 00:00:00.0000, -2.243472010894690E-01, -1.453432583616173E+00, -2.466816063759839E-02,  1.340342048219524E-02, -1.535565906865136E-03, -2.727905748539511E-04,
2460316.500000000, A.D. 2024-Jan-07 00:00:00.0000, -2.108473309079175E-01, -1.455012914029803E+00, -2.495395280359653E-02,  1.360502073451514E-02, -1.617429881554501E-03, -2.996488810362737E-04,
2460317.500000000, A.D. 2024-Jan-08 00:00:00.0000, -1.971217738260627E-01, -1.456650048426944E+00, -2.526885548666128E-02,  1.385268151763564E-02, -1.647214735066023E-03, -3.306898361989966E-04,
2460318.500000000, A.D. 2024-Jan-09 00:00:00.0000, -1.831312509280513E-01, -1.458286592445738E+00, -2.561604894949646E-02,  1.413242482199378E-02, -1.614872697191392E-03, -3.638757365297644E-04,
2460319.500000000, A.D. 2024-Jan-10 00:00:00.0000, -1.688515557629530E-01, -1.459856943780133E+00, -2.599659831675903E-02,  1.442823777346597E-02, -1.514119711251596E-03, -3.970356457310554E-04,
